"GEO_ID","NAME","B19013D_001E","B19013D_001M","B19013D_001MA","B19013D_001EA",
"1400000US04005945200","Census Tract 9452, Coconino County, Arizona","-","**","**","-",
"1400000US04007000100","Census Tract 1, Gila County, Arizona","-","**","**","-",
"1400000US04007000200","Census Tract 2, Gila County, Arizona","-","**","**","-",
"1400000US04007000301","Census Tract 3.01, Gila County, Arizona","-","**","**","-",
"1400000US04007000302","Census Tract 3.02, Gila County, Arizona","-","**","**","-",
"1400000US04007000400","Census Tract 4, Gila County, Arizona","-","**","**","-",
"1400000US04007000500","Census Tract 5, Gila County, Arizona","-","**","**","-",
"1400000US04007000600","Census Tract 6, Gila County, Arizona","-","**","**","-",
"1400000US04007000700","Census Tract 7, Gila County, Arizona","-","**","**","-",
"1400000US04007000800","Census Tract 8, Gila County, Arizona","-","**","**","-",
"1400000US04007000900","Census Tract 9, Gila County, Arizona","-","**","**","-",
"1400000US04007001000","Census Tract 10, Gila County, Arizona","-","**","**","-",
"1400000US04007001100","Census Tract 11, Gila County, Arizona","-","**","**","-",
"1400000US04007001200","Census Tract 12, Gila County, Arizona","-","**","**","-",
"1400000US04007001300","Census Tract 13, Gila County, Arizona","-","**","**","-",
"1400000US04007940200","Census Tract 9402, Gila County, Arizona","-","**","**","-",
"1400000US04007940400","Census Tract 9404, Gila County, Arizona","-","**","**","-",
"1400000US04009940500","Census Tract 9405, Graham County, Arizona","-","**","**","-",
"1400000US04009961100","Census Tract 9611, Graham County, Arizona","-","**","**","-",
"1400000US04009961201","Census Tract 9612.01, Graham County, Arizona","-","**","**","-",
"1400000US04009961202","Census Tract 9612.02, Graham County, Arizona","-","**","**","-",
"1400000US04009961300","Census Tract 9613, Graham County, Arizona","-","**","**","-",
"1400000US04009961400","Census Tract 9614, Graham County, Arizona","-","**","**","-",
"1400000US04009961500","Census Tract 9615, Graham County, Arizona","-","**","**","-",
"1400000US04009961600","Census Tract 9616, Graham County, Arizona","-","**","**","-",
"1400000US04009961700","Census Tract 9617, Graham County, Arizona","-","**","**","-",
"1400000US04011960100","Census Tract 9601, Greenlee County, Arizona","-","**","**","-",
"1400000US04011960200","Census Tract 9602, Greenlee County, Arizona","-","**","**","-",
"1400000US04011960300","Census Tract 9603, Greenlee County, Arizona","-","**","**","-",
"1400000US04012020100","Census Tract 201, La Paz County, Arizona","-","**","**","-",
"1400000US04012020201","Census Tract 202.01, La Paz County, Arizona","-","**","**","-",
"1400000US04012020202","Census Tract 202.02, La Paz County, Arizona","-","**","**","-",
"1400000US04012020501","Census Tract 205.01, La Paz County, Arizona","-","**","**","-",
"1400000US04012020502","Census Tract 205.02, La Paz County, Arizona","-","**","**","-",
"1400000US04012020602","Census Tract 206.02, La Paz County, Arizona","-","**","**","-",
"1400000US04012940200","Census Tract 9402, La Paz County, Arizona","37083","307877","null","null",
"1400000US04012940300","Census Tract 9403, La Paz County, Arizona","3021","66410","null","null",
"1400000US04012980000","Census Tract 9800, La Paz County, Arizona","-","**","**","-",
"1400000US04013010101","Census Tract 101.01, Maricopa County, Arizona","-","**","**","-",
"1400000US04013010102","Census Tract 101.02, Maricopa County, Arizona","-","**","**","-",
"1400000US04013030401","Census Tract 304.01, Maricopa County, Arizona","-","**","**","-",
"1400000US04013030402","Census Tract 304.02, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040502","Census Tract 405.02, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040506","Census Tract 405.06, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040507","Census Tract 405.07, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040512","Census Tract 405.12, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040513","Census Tract 405.13, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040514","Census Tract 405.14, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040515","Census Tract 405.15, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040516","Census Tract 405.16, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040517","Census Tract 405.17, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040518","Census Tract 405.18, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040519","Census Tract 405.19, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040520","Census Tract 405.20, Maricopa County, Arizona","118021","70704","null","null",
"1400000US04013040521","Census Tract 405.21, Maricopa County, Arizona","91118","440","null","null",
"1400000US04013040522","Census Tract 405.22, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040523","Census Tract 405.23, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040524","Census Tract 405.24, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040525","Census Tract 405.25, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040526","Census Tract 405.26, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040527","Census Tract 405.27, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040528","Census Tract 405.28, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040529","Census Tract 405.29, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040530","Census Tract 405.30, Maricopa County, Arizona","-","**","**","-",
"1400000US04013040531","Census Tract 405.31, Maricopa County, Arizona","-","**","**","-",
"1400000US04013050603","Census Tract 506.03, Maricopa County, Arizona","-","**","**","-",
"1400000US04013050604","Census Tract 506.04, Maricopa County, Arizona","-","**","**","-",
"1400000US04013050605","Census Tract 506.05, Maricopa County, Arizona","61875","103496","null","null",
"1400000US04013050606","Census Tract 506.06, Maricopa County, Arizona","154318","112019","null","null",
"1400000US04013050607","Census Tract 506.07, Maricopa County, Arizona","-","**","**","-",
"1400000US04013050608","Census Tract 506.08, Maricopa County, Arizona","-","**","**","-",
"1400000US04013050609","Census Tract 506.09, Maricopa County, Arizona","-","**","**","-",
"1400000US04013050610","Census Tract 506.10, Maricopa County, Arizona","73125","129939","null","null",
"1400000US04013050611","Census Tract 506.11, Maricopa County, Arizona","-","**","**","-",
"1400000US04013050701","Census Tract 507.01, Maricopa County, Arizona","-","**","**","-",
"1400000US04013050702","Census Tract 507.02, Maricopa County, Arizona","58393","23560","null","null",
"1400000US04013060801","Census Tract 608.01, Maricopa County, Arizona","-","**","**","-",
"1400000US04013060802","Census Tract 608.02, Maricopa County, Arizona","-","**","**","-",
"1400000US04013060901","Census Tract 609.01, Maricopa County, Arizona","-","**","**","-",
"1400000US04013060902","Census Tract 609.02, Maricopa County, Arizona","-","**","**","-",
"1400000US04013060903","Census Tract 609.03, Maricopa County, Arizona","-","**","**","-",
"1400000US04013060904","Census Tract 609.04, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061009","Census Tract 610.09, Maricopa County, Arizona","58750","37643","null","null",
"1400000US04013061010","Census Tract 610.10, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061011","Census Tract 610.11, Maricopa County, Arizona","27193","63202","null","null",
"1400000US04013061012","Census Tract 610.12, Maricopa County, Arizona","78611","36248","null","null",
"1400000US04013061013","Census Tract 610.13, Maricopa County, Arizona","107583","125937","null","null",
"1400000US04013061014","Census Tract 610.14, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061015","Census Tract 610.15, Maricopa County, Arizona","61836","11042","null","null",
"1400000US04013061016","Census Tract 610.16, Maricopa County, Arizona","67902","104053","null","null",
"1400000US04013061017","Census Tract 610.17, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061018","Census Tract 610.18, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061019","Census Tract 610.19, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061020","Census Tract 610.20, Maricopa County, Arizona","29420","106356","null","null",
"1400000US04013061021","Census Tract 610.21, Maricopa County, Arizona","72000","16283","null","null",
"1400000US04013061022","Census Tract 610.22, Maricopa County, Arizona","41985","25199","null","null",
"1400000US04013061023","Census Tract 610.23, Maricopa County, Arizona","78871","9415","null","null",
"1400000US04013061024","Census Tract 610.24, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061025","Census Tract 610.25, Maricopa County, Arizona","2,500-","***","***","2,500-",
"1400000US04013061026","Census Tract 610.26, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061027","Census Tract 610.27, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061028","Census Tract 610.28, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061029","Census Tract 610.29, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061030","Census Tract 610.30, Maricopa County, Arizona","69322","12169","null","null",
"1400000US04013061031","Census Tract 610.31, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061032","Census Tract 610.32, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061033","Census Tract 610.33, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061034","Census Tract 610.34, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061035","Census Tract 610.35, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061036","Census Tract 610.36, Maricopa County, Arizona","71000","141766","null","null",
"1400000US04013061037","Census Tract 610.37, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061038","Census Tract 610.38, Maricopa County, Arizona","65096","29221","null","null",
"1400000US04013061039","Census Tract 610.39, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061040","Census Tract 610.40, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061041","Census Tract 610.41, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061042","Census Tract 610.42, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061043","Census Tract 610.43, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061044","Census Tract 610.44, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061045","Census Tract 610.45, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061046","Census Tract 610.46, Maricopa County, Arizona","14914","53740","null","null",
"1400000US04013061047","Census Tract 610.47, Maricopa County, Arizona","115234","55381","null","null",
"1400000US04013061100","Census Tract 611, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061200","Census Tract 612, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061300","Census Tract 613, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061401","Census Tract 614.01, Maricopa County, Arizona","-","**","**","-",
"1400000US04013061402","Census Tract 614.02, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071503","Census Tract 715.03, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071504","Census Tract 715.04, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071505","Census Tract 715.05, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071506","Census Tract 715.06, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071509","Census Tract 715.09, Maricopa County, Arizona","73125","199202","null","null",
"1400000US04013071510","Census Tract 715.10, Maricopa County, Arizona","137639","56249","null","null",
"1400000US04013071511","Census Tract 715.11, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071512","Census Tract 715.12, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071513","Census Tract 715.13, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071514","Census Tract 715.14, Maricopa County, Arizona","136906","102694","null","null",
"1400000US04013071515","Census Tract 715.15, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071516","Census Tract 715.16, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071517","Census Tract 715.17, Maricopa County, Arizona","52692","120171","null","null",
"1400000US04013071600","Census Tract 716, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071701","Census Tract 717.01, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071702","Census Tract 717.02, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071801","Census Tract 718.01, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071802","Census Tract 718.02, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071903","Census Tract 719.03, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071906","Census Tract 719.06, Maricopa County, Arizona","54714","59053","null","null",
"1400000US04013071909","Census Tract 719.09, Maricopa County, Arizona","12692","26022","null","null",
"1400000US04013071910","Census Tract 719.10, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071911","Census Tract 719.11, Maricopa County, Arizona","29813","57831","null","null",
"1400000US04013071912","Census Tract 719.12, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071913","Census Tract 719.13, Maricopa County, Arizona","80521","91248","null","null",
"1400000US04013071914","Census Tract 719.14, Maricopa County, Arizona","-","**","**","-",
"1400000US04013071915","Census Tract 719.15, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082002","Census Tract 820.02, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082007","Census Tract 820.07, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082008","Census Tract 820.08, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082009","Census Tract 820.09, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082010","Census Tract 820.10, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082012","Census Tract 820.12, Maricopa County, Arizona","55227","4440","null","null",
"1400000US04013082016","Census Tract 820.16, Maricopa County, Arizona","83500","111970","null","null",
"1400000US04013082017","Census Tract 820.17, Maricopa County, Arizona","65819","19446","null","null",
"1400000US04013082018","Census Tract 820.18, Maricopa County, Arizona","73684","12161","null","null",
"1400000US04013082019","Census Tract 820.19, Maricopa County, Arizona","106250","128983","null","null",
"1400000US04013082020","Census Tract 820.20, Maricopa County, Arizona","98348","65224","null","null",
"1400000US04013082021","Census Tract 820.21, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082022","Census Tract 820.22, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082023","Census Tract 820.23, Maricopa County, Arizona","79375","2552","null","null",
"1400000US04013082024","Census Tract 820.24, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082025","Census Tract 820.25, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082026","Census Tract 820.26, Maricopa County, Arizona","123875","137738","null","null",
"1400000US04013082027","Census Tract 820.27, Maricopa County, Arizona","62083","77575","null","null",
"1400000US04013082028","Census Tract 820.28, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082203","Census Tract 822.03, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082204","Census Tract 822.04, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082205","Census Tract 822.05, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082206","Census Tract 822.06, Maricopa County, Arizona","36587","5863","null","null",
"1400000US04013082207","Census Tract 822.07, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082208","Census Tract 822.08, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082209","Census Tract 822.09, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082210","Census Tract 822.10, Maricopa County, Arizona","-","**","**","-",
"1400000US04013082211","Census Tract 822.11, Maricopa County, Arizona","-","**","**","-",
"1400000US04013083000","Census Tract 830, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092305","Census Tract 923.05, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092306","Census Tract 923.06, Maricopa County, Arizona","35500","25405","null","null",
"1400000US04013092307","Census Tract 923.07, Maricopa County, Arizona","57031","48473","null","null",
"1400000US04013092308","Census Tract 923.08, Maricopa County, Arizona","38145","9028","null","null",
"1400000US04013092309","Census Tract 923.09, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092311","Census Tract 923.11, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092312","Census Tract 923.12, Maricopa County, Arizona","46071","84618","null","null",
"1400000US04013092401","Census Tract 924.01, Maricopa County, Arizona","14097","2543","null","null",
"1400000US04013092402","Census Tract 924.02, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092500","Census Tract 925, Maricopa County, Arizona","85990","51078","null","null",
"1400000US04013092600","Census Tract 926, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092705","Census Tract 927.05, Maricopa County, Arizona","62235","21220","null","null",
"1400000US04013092708","Census Tract 927.08, Maricopa County, Arizona","42407","127715","null","null",
"1400000US04013092709","Census Tract 927.09, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092710","Census Tract 927.10, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092711","Census Tract 927.11, Maricopa County, Arizona","58750","89217","null","null",
"1400000US04013092712","Census Tract 927.12, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092713","Census Tract 927.13, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092715","Census Tract 927.15, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092716","Census Tract 927.16, Maricopa County, Arizona","73375","75786","null","null",
"1400000US04013092717","Census Tract 927.17, Maricopa County, Arizona","49013","10379","null","null",
"1400000US04013092718","Census Tract 927.18, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092719","Census Tract 927.19, Maricopa County, Arizona","33250","27993","null","null",
"1400000US04013092720","Census Tract 927.20, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092721","Census Tract 927.21, Maricopa County, Arizona","80903","43000","null","null",
"1400000US04013092723","Census Tract 927.23, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092724","Census Tract 927.24, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092801","Census Tract 928.01, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092802","Census Tract 928.02, Maricopa County, Arizona","-","**","**","-",
"1400000US04013092900","Census Tract 929, Maricopa County, Arizona","17019","260912","null","null",
"1400000US04013093001","Census Tract 930.01, Maricopa County, Arizona","-","**","**","-",
"1400000US04013093002","Census Tract 930.02, Maricopa County, Arizona","30833","40021","null","null",
"1400000US04013093101","Census Tract 931.01, Maricopa County, Arizona","-","**","**","-",
"1400000US04013093104","Census Tract 931.04, Maricopa County, Arizona","-","**","**","-",
"1400000US04013093105","Census Tract 931.05, Maricopa County, Arizona","-","**","**","-",
"1400000US04013093106","Census Tract 931.06, Maricopa County, Arizona","67375","39435","null","null",
"1400000US04013093200","Census Tract 932, Maricopa County, Arizona","-","**","**","-",
"1400000US04013103205","Census Tract 1032.05, Maricopa County, Arizona","78750","40244","null","null",
"1400000US04013103206","Census Tract 1032.06, Maricopa County, Arizona","-","**","**","-",
"1400000US04013103207","Census Tract 1032.07, Maricopa County, Arizona","-","**","**","-",
"1400000US04013103208","Census Tract 1032.08, Maricopa County, Arizona","9688","47784","null","null",
"1400000US04013103209","Census Tract 1032.09, Maricopa County, Arizona","4608","116896","null","null",
"1400000US04013103210","Census Tract 1032.10, Maricopa County, Arizona","67981","49718","null","null",
"1400000US04013103211","Census Tract 1032.11, Maricopa County, Arizona","56136","43867","null","null",
"1400000US04013103212","Census Tract 1032.12, Maricopa County, Arizona","96384","35472","null","null",
"1400000US04013103214","Census Tract 1032.14, Maricopa County, Arizona","31172","30875","null","null",
"1400000US04013103215","Census Tract 1032.15, Maricopa County, Arizona","-","**","**","-",
"1400000US04013103216","Census Tract 1032.16, Maricopa County, Arizona","-","**","**","-",
"1400000US04013103217","Census Tract 1032.17, Maricopa County, Arizona","63008","35004","null","null",
"1400000US04013103219","Census Tract 1032.19, Maricopa County, Arizona","142500","401277","null","null",
"1400000US04013103220","Census Tract 1032.20, Maricopa County, Arizona","138380","67859","null","null",
"1400000US04013103302","Census Tract 1033.02, Maricopa County, Arizona","-","**","**","-",
"1400000US04013103303","Census Tract 1033.03, Maricopa County, Arizona","-","**","**","-",
"1400000US04013103304","Census Tract 1033.04, Maricopa County, Arizona","-","**","**","-",
"1400000US04013103305","Census Tract 1033.05, Maricopa County, Arizona","-","**","**","-",
"1400000US04013103306","Census Tract 1033.06, Maricopa County, Arizona","-","**","**","-",
"1400000US04013103400","Census Tract 1034, Maricopa County, Arizona","-","**","**","-",
"1400000US04013103501","Census Tract 1035.01, Maricopa County, Arizona","-","**","**","-",
"1400000US04013103502","Census Tract 1035.02, Maricopa County, Arizona","-","**","**","-",
"1400000US04013103604","Census Tract 1036.04, Maricopa County, Arizona","70625","70850","null","null",
"1400000US04013103605","Census Tract 1036.05, Maricopa County, Arizona","62216","70601","null","null",
"1400000US04013103606","Census Tract 1036.06, Maricopa County, Arizona","80469","166789","null","null",
"1400000US04013103607","Census Tract 1036.07, Maricopa County, Arizona","117083","137318","null","null",
"1400000US04013103608","Census Tract 1036.08, Maricopa County, Arizona","79375","80842","null","null",
"1400000US04013103609","Census Tract 1036.09, Maricopa County, Arizona","-","**","**","-",
"1400000US04013103611","Census Tract 1036.11, Maricopa County, Arizona","230597","140385","null","null",
"1400000US04013103612","Census Tract 1036.12, Maricopa County, Arizona","34583","111400","null","null",
"1400000US04013103614","Census Tract 1036.14, Maricopa County, Arizona","-","**","**","-",
"1400000US04013103615","Census Tract 1036.15, Maricopa County, Arizona","-","**","**","-",
"1400000US04013103701","Census Tract 1037.01, Maricopa County, Arizona","210500","308635","null","null",
"1400000US04013103702","Census Tract 1037.02, Maricopa County, Arizona","58750","22512","null","null",
"1400000US04013103900","Census Tract 1039, Maricopa County, Arizona","45104","50055","null","null",
"1400000US04013104000","Census Tract 1040, Maricopa County, Arizona","69688","40789","null","null",
"1400000US04013104100","Census Tract 1041, Maricopa County, Arizona","-","**","**","-",
"1400000US04013104202","Census Tract 1042.02, Maricopa County, Arizona","76346","16734","null","null",
"1400000US04013104203","Census Tract 1042.03, Maricopa County, Arizona","20938","139204","null","null",
"1400000US04013104204","Census Tract 1042.04, Maricopa County, Arizona","19444","39793","null","null",
"1400000US04013104205","Census Tract 1042.05, Maricopa County, Arizona","-","**","**","-",
